Player,Class,Pos,Summary
Hank Bachmeier,SR,QB,"224 Cmp, 357 Att, 2593 Yds, 16 TD"
Michael Kern,SR,QB,"24 Cmp, 45 Att, 288 Yds, 1 TD"
Jeremy Hecklinski,SO,QB,
Tyler Mizzell,SO,QB,
Charlie Gilliam,JR,QB,
Nick Rubino,SO,QB,
Demond Claiborne,SR,RB,"228 Att, 1049 Yds, 4.6 Avg"
Tate Carney,JR,RB,"83 Att, 339 Yds, 4.1 Avg"
Ty Clark,SO,RB,"13 Att, 57 Yds, 4.4 Avg"
Kennedy Fauntleroy,SR,RB,
Zach Igwebe,SR,RB,
Mason Andrade,JR,RB,
David Egbe,JR,RB,
Ryan Henley,SO,RB,
Drew Pickett,SO,RB,
Taylor Morin,SR,WR,"64 Rec, 756 Yds, 11.8 Avg"
Deuce Alexander,SO,WR,"36 Rec, 400 Yds, 11.1 Avg"
Jaydn Girard,JR,WR,"1 Rec, 25 Yds, 25.0 Avg"
Horatio Fields,SR,WR,"39 Rec, 463 Yds, 11.9 Avg"
Donavon Greene,SR,WR,"23 Rec, 380 Yds, 16.5 Avg"
Micah Mays Jr.,SO,WR,"16 Rec, 218 Yds, 13.6 Avg"
Walker Merrill,SR,WR,"9 Rec, 77 Yds, 8.6 Avg"
Ben Grice,SO,WR,
Jeremiah Melvin,SO,WR,
Nick Ragano,SR,WR,
EJ Reid,SO,WR,
Ian Ver Steeg,JR,WR,
Walker Ferguson,SR,WR,
Christian Greene,SR,WR,
James Hillhouse,SO,WR,
Owen Pisa,JR,WR,
Wesley Stroebel,JR,WR,
Jason Woods,SO,WR,
Cameron Hite,SR,TE,"12 Rec, 74 Yds, 6.2 Avg"
Harry Lodge,JR,TE,"12 Rec, 110 Yds, 9.2 Avg"
Michael Frogge,SR,TE,"2 Rec, 9 Yds, 4.5 Avg"
Dominic Deluca,SO,TE,
Landen Baker,SO,TE,
Kevin Check,JR,TE,
Ryan Dupont,SR,TE,
Luca Puccinelli,SO,TE,
Uber Ajongo,SO,OL,
Jaydon Collins,SR,OL,
DeVonte Gordon,SR,OL,
Matt Gulbin,SR,OL,
Hank Lucas,JR,OL,
Devin McRae,SO,OL,
Luke Petitbon,SR,OL,
Erik Russell,SR,OL,
George Sell,SR,OL,
Nick Sharpe,JR,OL,
George Steih,SO,OL,
Keagen Trost,SR,OL,
Zach Vaughan,SR,OL,
Kyland Armstrong,SO,OL,
Luke Beemer,SO,OL,
Cale Doyle,JR,OL,
Jack Hines,SO,OL,
Derrell Johnson II,JR,OL,
Jake Pascual,SR,OL,
Sebastian Pierre,JR,OL,
Clinton Richard,SO,OL,
Caleb Carlson,JR,K,
Matthew Dennis,SR,K,
Ben Morgan,JR,K,
Wyatt Crespi,SR,DL,
Jasheen Davis,SR,DL,
Bryce Ganious,SR,DL,
Camden Hardy,SO,DL,
Mateen Ibirogba,SR,DL,
Kerrington Lee,SO,DL,
Zach Lohavichan,SR,DL,
Chris Marable Jr.,SO,DL,
Kevin Pointer,SR,DL,
Ka'Shawn Thomas,SO,DL,
Tyler Walton,SO,DL,
Kendron Wayman,SR,DL,
BJ Williams,SR,DL,
Justin Williams,SR,DL,
Carter Broers,JR,DL,
Ameir Glenn,SO,DL,
Sam Greenspan,SO,DL,
Josh Harrison,SO,DL,
Kendal Howard,SO,DL,
Brandon Hoyle,JR,DL,
Khyler Watson,SO,DL,
Quincy Williams,JR,DL,
Quincey Bryant,SR,LB,
Branson Combs,SR,LB,
Aiden Hall,JR,LB,
Dylan Hazen,SR,LB,
Darius Jones,SO,LB,
Matthew Lusardi,JR,LB,
Eldrick Robinson II,JR,LB,
Andrew Hines III,SO,LB,
Dallas Hurley,SO,LB,
Will Moy,SO,LB,
Whittman Whaley,SO,LB,
Luke White,JR,LB,
Nick Andersen,SR,DB,
Capone Blue,SR,DB,
Anthony Borriello,SR,DB,
Devin Cook,SO,DB,
Jacob Cosby-Mosley,SO,DB,
Jamare Glasker,JR,DB,
C'Darius Kelley,SR,DB,
Jaxon Mull,JR,DB,
Davaughn Patterson,SO,DB,
DeMarcus Rankin,SR,DB,
Evan Slocum,SR,DB,
Zamari Stevenson,JR,DB,
William Tackie Jr.,SO,DB,
Rushaun Tongue,SO,DB,
Myles Turpin,SO,DB,
Travon West,SO,DB,
Tayshaun Burney,SO,DB,
Maurice Ghee,SO,DB,
Miles Heard,SO,DB,
Zeek Jackson,SO,DB,
Sam Neely,SO,DB,
Trent Nicholson,SR,DB,
Busbee Phillips,SO,DB,
Antonio Robinson Jr.,SO,DB,
Mark Rogalski,SO,DB,
Jake Ryan,SO,DB,
Tyler Black,JR,P,
Ivan Mora,SR,P,
Jack Ploszay,SO,P,
Will Cobb,SR,LS,
Zachary Zinger,SO,LS,
