Player,Class,Pos,Summary
Will Rogers,SR,QB,"220 Cmp, 311 Att, 2458 Yds, 14 TD"
Demond Williams Jr.,SO,QB,"82 Cmp, 105 Att, 944 Yds, 8 TD"
Teddy Purcell,SR,QB,
Shea Kuykendall,JR,QB,
Jonah Coleman,SR,RB,"193 Att, 1053 Yds, 5.5 Avg"
Cameron Davis,SR,RB,"44 Att, 190 Yds, 4.3 Avg"
Adam Mohammed,SO,RB,"42 Att, 193 Yds, 4.6 Avg"
Sam Adams II,SR,RB,"8 Att, 19 Yds, 2.4 Avg"
Daniyel Ngata,SR,RB,"4 Att, 9 Yds, 2.3 Avg"
Jordan Washington,SO,RB,"3 Att, 7 Yds, 2.3 Avg"
Ryder Bumgarner,JR,RB,
Giles Jackson,SR,WR,"85 Rec, 893 Yds, 10.5 Avg"
Jeremiah Hunter,SR,WR,"36 Rec, 490 Yds, 13.6 Avg"
Keith Reynolds,SO,WR,"5 Rec, 35 Yds, 7.0 Avg"
Denzel Boston,JR,WR,"63 Rec, 834 Yds, 13.2 Avg"
Rashid Williams,SO,WR,"11 Rec, 138 Yds, 12.5 Avg"
Audric Harris,SO,WR,"2 Rec, 17 Yds, 8.5 Avg"
Owen Coutts,SR,WR,
Jackson Girouard,SR,WR,
Luke Luchini,SO,WR,
Camden Sirmon,SR,WR,
Jace Burton,SO,WR,
Luke Gayton,SO,WR,
Kevin Green Jr.,JR,WR,
Jason Robinson Jr.,SO,WR,
Justice Williams,SO,WR,
Keleki Latu,SR,TE,"40 Rec, 371 Yds, 9.3 Avg"
Decker DeGraaf,SO,TE,"15 Rec, 233 Yds, 15.5 Avg"
Quentin Moore,SR,TE,"1 Rec, 14 Yds, 14.0 Avg"
Wilson Schwartz,SR,TE,
Charlie Crowell,SO,TE,
Ryan Otton,JR,TE,
Drew Azzopardi,JR,OL,
Soane Faasolo,SO,OL,
Paki Finau,SO,OL,
Landen Hatchett,JR,OL,
Zachary Henning,SO,OL,
Maximus McCree,SR,OL,
Gaard Memmelaar,SR,OL,
Kahlee Tafai,SO,OL,
D'Angalo Titialii,SR,OL,
Enokk Vimahi,SR,OL,
Aidan Anderson,SO,OL,
Davit Boyajyan,SO,OL,
Roice Cleeland,SO,OL,
Parker Cross,SO,OL,
Justin Hylkema,SO,OL,
Elishah Jackett,SO,OL,
Michael Levelle Watkins,SO,OL,
Grady Gross,SR,K,
Sam Finnegan,SO,K,
Jacob Bandes,SR,DL,
Bryce Butler,SR,DL,
Elinneus Davis,SO,DL,
DeShawn Lynch,SR,DL,
Jayvon Parker,SR,DL,
Logan Sagapolu,SR,DL,
Sebastian Valdez,SR,DL,
Annas Davis,SO,DL,
Omar Khan,SO,DL,
Armon Parker,JR,DL,
Carson Bruener,SR,LB,
Deven Bryant,SO,LB,
Zach Durfee,SR,LB,
Drew Fowler,SR,LB,
Maurice Heims,SR,LB,
Lance Holtzclaw,JR,LB,
Milton Hopkins Jr.,SR,LB,
Khmori House,SO,LB,
Jake Jennings,SR,LB,
Jacob Lane,JR,LB,
Hayden Moore,SO,LB,
Byrun Parham,SR,LB,
Alphonzo Tuputala,SR,LB,
Anthony Ward,SR,LB,
Logan Lisherness,SO,LB,
Griffin Miller,JR,LB,
Darren Barkins,SR,DB,
Cameron Broussard,SR,DB,
Justin Harrington,SR,DB,
Jordan Shaw,SO,DB,
Jack McCallister,SR,P,
Troy Petz,SO,P,
Adam Saul,SR,P,
Leroy Bryant,SO,CB,
Rahshawn Clark,SO,S,
Russell Davis II,SR,DE,
Thaddeus Dixon,SR,CB,
Tristan Dunn,JR,S,
Makell Esteen,SR,S,
Kamren Fabiculanan,SR,S,
Vince Holmes,SO,S,
Elijah Jackson,SR,CB,
Caleb Johnston,JR,LS,
Dyson McCutcheon,SR,S,
Anay Nagarajan,SR,CB,
Caleb Presley,SO,CB,
Ephesians Prysock,JR,CB,
Curley Reed,SO,CB,
Voi Tunuufi,SR,DE,
Cameron Warchuck,SR,LS,
Isaiah Ward,JR,DE,
Tristan Warner,JR,S,
Peyton Waters,SO,S,
Jayden Wayne,JR,DE,
Rahim Wright Jr.,SO,S,
Kayden Greene,SO,S,
Elias Johnson,SO,CB,
Tyrese Johnson,SO,DE,
Paul Mencke Jr.,SO,S,
