Player,Class,Pos,Summary
John Mateer,JR,QB,"224 Cmp, 347 Att, 3139 Yds, 29 TD"
Zevi Eckhaus,SR,QB,"37 Cmp, 50 Att, 424 Yds, 4 TD"
Jaxon Potter,SO,QB,"2 Cmp, 2 Att, 26 Yds, 0 TD"
Evans Chubba,SO,QB,
Hunter Najm,SO,QB,
Jake Tiryakioglu,SO,QB,
Wayshawn Parker,SO,RB,"137 Att, 735 Yds, 5.4 Avg"
Leo Pulalasi,SO,RB,"65 Att, 302 Yds, 4.6 Avg"
Djouvensky Schlenbaker,JR,RB,"43 Att, 149 Yds, 3.5 Avg"
Dylan Paine,SR,RB,"9 Att, 40 Yds, 4.4 Avg"
Josh Joyner,SO,RB,"2 Att, 10 Yds, 5.0 Avg"
Lane Heeringa,JR,RB,
Allan McKeraghan,SO,RB,
Jalen Ridgeway,SR,RB,
Kyle Williams,SR,WR,"70 Rec, 1198 Yds, 17.1 Avg"
Kris Hutson,SR,WR,"54 Rec, 683 Yds, 12.6 Avg"
Tony Freeman,JR,WR,"8 Rec, 125 Yds, 15.6 Avg"
Chris Barnes,SO,WR,"2 Rec, 19 Yds, 9.5 Avg"
Josh Meredith,SR,WR,"39 Rec, 472 Yds, 12.1 Avg"
Carlos Hernandez,JR,WR,"31 Rec, 397 Yds, 12.8 Avg"
Tre Shackelford,SR,WR,"10 Rec, 144 Yds, 14.4 Avg"
Branden Ganashamoorthy,SO,WR,"5 Rec, 45 Yds, 9.0 Avg"
Kyle Maxwell,SR,WR,"1 Rec, 4 Yds, 4.0 Avg"
Brandon Hills,JR,WR,
Mason Juergens,JR,WR,
Leon Neal Jr.,SR,WR,
Mackenzie Alleyne,SO,WR,
Isaiah Cobbs,SO,WR,
Dycurian Douglas,SO,WR,
Van Fessler,JR,WR,
Kyson Thomas,SO,WR,
Mahki Whitney,SO,WR,
Landon Wright,SO,WR,
Cooper Mathers,SR,TE,"13 Rec, 196 Yds, 15.1 Avg"
Trey Leckner,SO,TE,"5 Rec, 87 Yds, 17.4 Avg"
Andre Dollar,SR,TE,"2 Rec, 13 Yds, 6.5 Avg"
Billy Riviere,SR,TE,"1 Rec, 8 Yds, 8.0 Avg"
Luke Leighton,JR,TE,
Ben Dutton,SO,TE,
Brock Dieu,SR,OL,
Noah Dunham,SO,OL,
Fa'Alili Fa'amoe,SR,OL,
Christian Hilborn,SR,OL,
Devin Kylany,SR,OL,
Austin Lawrence,SR,OL,
Jonny Lester,JR,OL,
Esa Pole,SR,OL,
Nathan Pritchard,JR,OL,
Landon Roaten,JR,OL,
Rodrick Tialavea,SR,OL,
Ashton Tripp,SO,OL,
AJ Hasson,SO,OL,
Chris Lino,SO,OL,
Gauge Machado,JR,OL,
Kyle Martin,JR,OL,
Zack Miller,JR,OL,
Carson Osmus,SO,OL,
Luke Roaten,JR,OL,
Xavier Thorpe,SO,OL,
Dean Janikowski,SR,K,
Ryan Harris,JR,K,
Connor Calvert,SO,K,
Ansel Din-Mbuh,JR,DL,
David Gusta,SR,DL,
Bryce Lamb,JR,DL,
Khalil Laufau,JR,DL,
Nusi Malani,SR,DL,
Rashad McKenzie,JR,DL,
Syrus Webster,SR,DL,
Jackson Cowgill,SO,DL,
Moors Hyrum-Benjamin,SO,DL,
Aden Mata,SO,DL,
Miller Titus,SO,DL,
Taariq Al-Uqdah,JR,LB,
Keith Brown,SR,LB,
Hudson Cedarland,JR,LB,
Frank Cusano,SO,LB,
Dajon Doss,SO,LB,
Parker McKenna,SR,LB,
Wesley Steiner,SR,LB,
Kyle Thornton,SR,LB,
Jack Ellison,SO,LB,
Gavin Fugate,SO,LB,
Jamorri Colson,SR,DB,
Tyson Durant,SR,DB,
Jaylon Edmond,SO,DB,
Kapena Gushiken,SR,DB,
Hunter Haines,SO,DB,
Stephen Hall,SR,DB,
Gage Jones,SO,DB,
Jackson Lataimua,SR,DB,
Tanner Moku,SR,DB,
Ethan O'Connor,SO,DB,
Ashton Paine,JR,DB,
Kayo Patu,SO,DB,
Warren Smith Jr.,SO,DB,
Reece Sylvester,JR,DB,
Joseph Taylor,JR,DB,
Jerrae Williams,SR,DB,
Adrian Wilson,SO,DB,
Kenny Worthy III,SO,DB,
Aslan Fraser,JR,DB,
Kamani Jackson,SO,DB,
Cole Norah,SR,DB,
Ethan Torres,SO,DB,
Tyson Weaver,SO,DB,
King Williams,JR,DB,
Nick Haberer,SR,P,
Andrew Edson,SR,DE,
Durham Harris,SR,LS,
Michael Hughes,JR,DE,
Jack Janikowski,JR,DE,
Jack Procter,JR,DE,
Quinn Roff,SR,DE,
Leyton Smithson,SR,S,
Raam Stevenson,SR,DE,
Isaac Terrell,JR,DE,
Ben Beatty,SO,DE,
Colson Brunner,SR,LS,
Sean Bures,SO,LS,
Camden DeGraw-Tryall,SO,DE,
Malachi Wrice,SO,DE,
