Player,Class,Pos,Summary
Garrett Greene,SR,QB,"189 Cmp, 315 Att, 2300 Yds, 15 TD"
Nicco Marchiol,JR,QB,"37 Cmp, 56 Att, 434 Yds, 5 TD"
Fenwick Abe,SO,QB,
Ryder Burton,SO,QB,
Jackson Crist,SR,QB,
Scott Kean,JR,QB,
Khalil Wilkins,SO,QB,
CJ Donaldson,SR,RB,"163 Att, 734 Yds, 4.5 Avg"
Jahiem White,JR,RB,"148 Att, 844 Yds, 5.7 Avg"
Jaylen Anderson,SR,RB,"9 Att, 34 Yds, 3.8 Avg"
Diore Hubbard,SO,RB,"1 Att, 1 Yds, 1.0 Avg"
Clay Ash,SO,RB,
Trae'von Dunbar,SO,RB,
Murphy Clement,SO,RB,
Mykal Davis,SO,RB,
Judah Price,SO,RB,
Rodney Gallagher,JR,WR,"26 Rec, 288 Yds, 11.1 Avg"
Ric'Darious Farmer,SO,WR,"6 Rec, 54 Yds, 9.0 Avg"
Traylon Ray,JR,WR,"28 Rec, 426 Yds, 15.2 Avg"
Preston Fox,SR,WR,"12 Rec, 131 Yds, 10.9 Avg"
Hudson Clement,JR,WR,"51 Rec, 741 Yds, 14.5 Avg"
Justin Robinson,SR,WR,"16 Rec, 244 Yds, 15.3 Avg"
Jaden Bray,SR,WR,"2 Rec, 88 Yds, 44.0 Avg"
Jarel Williams,JR,WR,"1 Rec, 17 Yds, 17.0 Avg"
CJ Cole,SR,WR,
Dom Collins,SO,WR,
Brandon Rehmann,SO,WR,
Tyler Evans,FR,WR,
Andrew Phares,SO,WR,
Kole Taylor,SR,TE,"43 Rec, 448 Yds, 10.4 Avg"
Treylan Davis,SR,TE,"6 Rec, 58 Yds, 9.7 Avg"
Jack Sammarco,SO,TE,"1 Rec, 4 Yds, 4.0 Avg"
Noah Braham,SO,TE,
Will Dixon,JR,TE,
TJ Johnston,SO,TE,
Greg Genross,SR,TE,
Xavier Bausley,JR,OL,
Bryce Biggs,SR,OL,
Ja'Quay Hubbard,SR,OL,
Nick Krahe,SO,OL,
Landen Livington,JR,OL,
Nick Malone,SR,OL,
Wyatt Milum,SR,OL,
Tomas Rimac,SR,OL,
Sullivan Weidman,JR,OL,
Johnny Williams IV,SO,OL,
Brandon Yates,SR,OL,
Kyle Altuner,SO,OL,
Lucas Austin,SO,OL,
Aiden Ellis,SO,OL,
Griffin Fogle,SO,OL,
Wesley Hancock,SO,OL,
Andreas Hunter,SO,OL,
Justin Terry,SO,OL,
Cooper Young,SO,OL,
Nate Flower,SO,K,
Michael Hayes,SR,K,
RJ Kocan,JR,K,
Casey Stanley,SO,K,
Derek Berlitz,JR,DL,
Makai Byerson,SO,DL,
Nate Gabriel,SO,DL,
T.J. Jackson,SR,DL,
Elijah Kinsler,SO,DL,
Sean Martin,SR,DL,
Fatorma Mulbah,SR,DL,
Asani Redwood,JR,DL,
Hammond Russell IV,SR,DL,
Taurus Simmons,SR,DL,
Edward Vesterinen,SR,DL,
Jackson Biser,JR,DL,
Oreyend Fisher,SO,DL,
Quintin Goins,SO,DL,
Donovan Grayson,SO,DL,
Harry Hilvert,JR,DL,
Zachariah Keith,JR,DL,
Corey McIntyre Jr.,SO,DL,
Jonah Ulloa,SO,DL,
Caden Biser,SR,LB,
Tyrin Bradley,SR,LB,
Tyler Cain,JR,LB,
Reid Carrico,SR,LB,
Ben Cutter,JR,LB,
Curtis Jones Jr.,SO,LB,
Trey Lathan,JR,LB,
Josiah Trotter,SO,LB,
Rickey Williams,SO,LB,
Donald Brandel,JR,LB,
Aydin Fleming,SO,LB,
Raymond Kovalesky,SO,LB,
Obinna Onwuka,SO,LB,
Aubrey Burks,SR,DB,
Jaheem Joseph,SR,DB,
Lieghton Bechdel,SR,P,
Oliver Straw,SR,P,
Luke Savino,SO,P,
Ronan Swope,SR,P,
Israel Boyce,SO,S,
Austin Brinkman,SR,LS,
TJ Crandall,JR,CB,
Dontez Fagan,SR,CB,
Ty French,SR,DE,
Ayden Garnes,SR,CB,
Garnett Hollis Jr.,SR,CB,
Zae Jennings,SO,S,
Colin McBee,JR,FB,
Macguire Moss,JR,LS,
Keyshawn Robinson,SO,S,
Jacolby Spells,SR,CB,
Aden Tagaloa-Nelson,SO,S,
Kekoura Tarnue,SR,S,
Key'on Washington,SO,CB,
Avery Wilcox,SR,S,
Anthony Wilson,SR,S,
Jayden Bell,SO,CB,
Nasai Bell,SO,S,
Raleigh Collins III,JR,S,
Jason Cross Jr.,SO,S,
Chris Henry,SO,CB,
Jordan Jackson,SO,CB,
Josiah Jackson,SO,CB,
Mikey Preston,SO,S,
Caden Selller,SO,LS,
Deuce Shabazz,JR,CB,
