Player,Class,Pos,Summary
Caden Veltkamp,JR,QB,"258 Cmp, 389 Att, 3108 Yds, 25 TD"
TJ Finley,SR,QB,"48 Cmp, 75 Att, 490 Yds, 1 TD"
Turner Helton,JR,QB,
Tucker Parks,SO,QB,
Rodney Tisdale Jr.,SO,QB,
Elijah Young,SR,RB,"201 Att, 883 Yds, 4.4 Avg"
George Hart III,SR,RB,"43 Att, 206 Yds, 4.8 Avg"
L.T. Sanders,SR,RB,"21 Att, 103 Yds, 4.9 Avg"
Jalen Hampton,SR,RB,"11 Att, 57 Yds, 5.2 Avg"
Corey Landers,JR,RB,
Donovan Jones,SO,RB,
Javon McMahon,SO,RB,
Dalvin Smith,SR,WR,"31 Rec, 406 Yds, 13.1 Avg"
Easton Messer,JR,WR,"55 Rec, 793 Yds, 14.4 Avg"
K.D. Hutchinson,JR,WR,"25 Rec, 383 Yds, 15.3 Avg"
Michael Mathison,SR,WR,"13 Rec, 143 Yds, 11.0 Avg"
Kisean Johnson,SR,WR,"75 Rec, 925 Yds, 12.3 Avg"
Bryce Childress,SR,WR,"6 Rec, 73 Yds, 12.2 Avg"
Moussa Barry,JR,WR,"10 Rec, 100 Yds, 10.0 Avg"
Demick Starling,SR,WR,"3 Rec, 56 Yds, 18.7 Avg"
Koy Moore,SR,WR,"2 Rec, 27 Yds, 13.5 Avg"
Cameron Flowers,SO,WR,"1 Rec, 13 Yds, 13.0 Avg"
Denzil Alleyne,SR,WR,
Jax Cooper,JR,WR,
Jarvis Hayes,SO,WR,
Marvin Sims,JR,WR,
Justin Brown,SO,WR,
Javy Bunton,SR,WR,
Jaylen Hampton,SO,WR,
Damari Jefferson,SO,WR,
Dallen Ponder,SO,WR,
Willie Taggart Jr.,SR,WR,
Jaleel Walker,SR,WR,
River Helms,SR,TE,"19 Rec, 228 Yds, 12.0 Avg"
Noah Meyers,JR,TE,"7 Rec, 123 Yds, 17.6 Avg"
Trevor Borland,SR,TE,"2 Rec, 8 Yds, 4.0 Avg"
Elvin Fofanah,SR,TE,"2 Rec, 9 Yds, 4.5 Avg"
Colten Cable,SR,TE,
C.J. Kiss,SR,TE,
Aiden Miller,JR,TE,
Blake Austin,SR,OL,
Melvin Collins Jr.,SR,OL,
Wesley Horton,SR,OL,
Marshall Jackson,SR,OL,
Darrell Johnson Jr.,SR,OL,
Quantavious Leslie,SR,OL,
Rodney Newsom,JR,OL,
Michael Ondelacy,SR,OL,
Travon Taylor,SR,OL,
Evan Wibberley,JR,OL,
Gabriel Arnold,SO,OL,
Gabe Claybrook,SO,OL,
Leavy Johnson,SO,OL,
Michael Moment,SR,OL,
Hayden Todd,JR,OL,
Lucas Carneiro,JR,K,
Riley Stephens,SR,K,
Michael Buck,SO,K,
Jackson Smith,JR,K,
Jalen Hand,SO,DL,
Jayden Loving,SR,DL,
Jalil Rivera-Harvey,SR,DL,
Dallas Walker IV,SR,DL,
Hosea Wheeler,SR,DL,
Ki'Shawn Harvey,SO,DL,
Chuwunedu Okeke,SO,DL,
Brandon Tobias,SO,DL,
Sebastian Benjamin,SR,LB,
Anthony Brackenridge,SR,LB,
Terreance Ellis,SR,LB,
Nathan Griffin,SR,LB,
Kylan Guidry,SR,LB,
Koron Hayward,JR,LB,
Lofton Howard,JR,LB,
Reid Jamerson,JR,LB,
Devon Lynch,SR,LB,
Miller Malone,SO,LB,
Chandler Matthews,SR,LB,
Zsacari Minnis,SO,LB,
Darius Thomas,JR,LB,
Keondre Williams,SR,LB,
Trent Zappe,JR,LB,
Reginald Allen Jr.,JR,LB,
Eli Jones,JR,LB,
Jai Eugene Jr.,SO,DB,
Alex Ford,JR,DB,
"Xavion ""Tutu"" Griffin",SO,DB,
Dave Herard,SR,DB,
Anthony Johnson Jr.,SR,DB,
Virgil Marshall,SR,DB,
Devonte' Mathews,SR,DB,
Joshua Mensah,JR,DB,
Jaymar Mundy,SR,DB,
Marvelous Owens,SR,DB,
Kent Robinson,SR,DB,
Upton Stout,SR,DB,
Keyshawn Swanson,SR,DB,
Nasir Ward,JR,DB,
Demarko Williams,SR,DB,
Ely George,SR,DB,
Jalen Jackson,SO,DB,
Tate Titshaw,SO,DB,
Khrystian Washington,JR,DB,
Lataj Wright,SR,DB,
Cole Maynard,SR,P,
Zach Edwards,SR,DE,
Harper Holloman,SO,DE,
Deante McCray,JR,DE,
Marcus Patterson,JR,DE,
Rex Robich,SR,LS,
Terrion Thompson,SR,DT,
Stacey Wilkins,SR,OT,
Drew Wilson,SR,LS,
Kolbyn Price,SO,LS,
