Player,Class,Pos,Summary
Hayden Wolff,SR,QB,"208 Cmp, 312 Att, 2410 Yds, 18 TD"
Broc Lowry,SO,QB,"4 Cmp, 8 Att, 21 Yds, 0 TD"
Mareyohn Hrabowski,SR,QB,
JD Davis II,SO,QB,
Mark Konecny,SR,QB,
Mason Reynolds,SO,QB,
Larry Robinson,SO,QB,
Jaden Nixon,SR,RB,"143 Att, 919 Yds, 6.4 Avg"
Jalen Buckley,JR,RB,"128 Att, 683 Yds, 5.3 Avg"
Zahir Abdus-Salaam,SR,RB,"113 Att, 600 Yds, 5.3 Avg"
Keshawn King,SR,RB,"9 Att, 27 Yds, 3.0 Avg"
Jamal Hailey,SR,RB,"6 Att, 60 Yds, 10.0 Avg"
Tre' Hartwell,SO,RB,"3 Att, 4 Yds, 1.3 Avg"
Anthony Sambucci,SR,WR,"34 Rec, 412 Yds, 12.1 Avg"
Jordin Parker,SR,WR,"12 Rec, 140 Yds, 11.7 Avg"
Kenneth Womack,SR,WR,"39 Rec, 545 Yds, 14.0 Avg"
Malique Dieudonne,SR,WR,"13 Rec, 230 Yds, 17.7 Avg"
Kaevion Mack,SR,WR,"5 Rec, 63 Yds, 12.6 Avg"
Bugs Mortimer,SR,WR,"3 Rec, 50 Yds, 16.7 Avg"
Terrance Marshall,SO,WR,
Tony Martin,JR,WR,
Jayquan Reid,SO,WR,
Najiib Anderson,SO,WR,
Davis Barr,SO,WR,
Willie Berris,SR,WR,
JR Hays,SO,WR,
Cam Hedgecock,SR,WR,
Blake Bosma,SR,TE,"37 Rec, 403 Yds, 10.9 Avg"
Christopher Toudle,SR,TE,"8 Rec, 91 Yds, 11.4 Avg"
Kadinn Morris,SR,TE,"2 Rec, 19 Yds, 9.5 Avg"
Ryan Brotherton,SO,TE,
Will Gerig,SR,TE,
Brennan Wooten,JR,TE,
Nathan Sines,SO,TE,
Gavin Dabo,SO,OL,
Jacob Gideon,SR,OL,
John Hofer,SR,OL,
Conor Kenzinger,SO,OL,
Tedi Kushi,SR,OL,
Calvin Muraski,SR,OL,
Quinn Murphy,SR,OL,
Jack Parker,SO,OL,
Caden Peddie,SR,OL,
Jeremy Schleicher,SO,OL,
Chad Schuster,JR,OL,
Trevor Shaw,SR,OL,
Addison West,SR,OL,
Jake Chellman,SO,OL,
Jacob Krause,SO,OL,
Parker Lanning,SO,OL,
Adam Vandervest,SR,OL,
Palmer Domschke,SR,K,
Cale Allaire,SR,K,
Andrew Abu-Akel,SO,K,
Jayden Childers,SR,DL,
Isaiah Green,SR,DL,
Dalton Gustwiller,JR,DL,
Tyson Lee,SR,DL,
Joshua Lloyd,SO,DL,
Rodney McGraw,SR,DL,
Mason Nelson,SR,DL,
Anterio Thompson,JR,DL,
Razah Townsend,JR,DL,
Marcel Tyler,SR,DL,
Corey Walker,SR,DL,
Jordan Buckley,SO,DL,
Nick Esposito,SR,DL,
Sid Kaba,JR,DL,
Maddux Babin,SO,LB,
Boone Bonnema,SR,LB,
Brendan Budeselich,JR,LB,
Spencer Lyons,SO,LB,
Domanick Moon,JR,LB,
Dillon Moore,SR,LB,
Damari Roberson,SR,LB,
Jacob Wahlberg,SR,LB,
Donald Willis,SR,LB,
Jelani Willis,SR,LB,
Andrew Baker,SO,LB,
Huston Eubank,SO,LB,
Derek Pennington,SO,LB,
Dashon Bussell,SR,DB,
Ryan Raybuck,SR,DB,
Nyquan Washington,SR,DB,
Aaron Wofford,SR,DB,
Ryan Millmore,SO,P,
Luka Zurak,SR,P,
Anthony Beacom,SR,P,
Armani Adams,SR,S,
Josh Franklin,JR,CB,
Michael Gravely Jr.,SR,S,
Tate Hallock,SR,S,
August Johanningsmeier,JR,DE,
Bilhal Kone,SR,CB,
CJ Miles Jr.,SO,S,
Carlos Mitchell Jr,SO,CB,
Isaiah Paul,SR,CB,
Joey Pope,JR,S,
Jack Sherwin,SR,OT,
Angelo Stockstill,JR,S,
RJ Todd,SR,LS,
Corey Webb,JR,CB,
Lorenzo Williams,JR,CB,
Popeye Williams,JR,DE,
Jameson Young,SO,CB,
Peyton Doorhy,SR,LS,
La'Varis Stanford,SO,CB,
Braden Steely,SO,S,
Versie Walker III,JR,CB,
Jalen Whittaker,SO,CB,
