Player,Class,Pos,Summary
Braedyn Locke,SR,QB,"164 Cmp, 296 Att, 1936 Yds, 13 TD"
Tyler Van Dyke,SR,QB,"43 Cmp, 68 Att, 422 Yds, 1 TD"
Mabrey Mettauer,SO,QB,"1 Cmp, 1 Att, 2 Yds, 0 TD"
Cole LaCrue,JR,QB,
Milos Spasojevic,SO,QB,
Tawee Walker,SR,RB,"190 Att, 864 Yds, 4.5 Avg"
Darrion Dupree,SO,RB,"79 Att, 317 Yds, 4.0 Avg"
Chez Mellusi,SR,RB,"56 Att, 232 Yds, 4.1 Avg"
Cade Yacamelli,SR,RB,"33 Att, 274 Yds, 8.3 Avg"
Dilin Jones,SO,RB,"16 Att, 88 Yds, 5.5 Avg"
Gideon Ituka,SO,RB,"2 Att, 4 Yds, 2.0 Avg"
Jackson Acker,SR,RB,"5 Rec, 29 Yds, 5.8 Avg"
Grover Bortolotti,SR,RB,
Nate White,JR,RB,
Will Pauling,SR,WR,"42 Rec, 407 Yds, 9.7 Avg"
Vinny Anthony,SR,WR,"39 Rec, 672 Yds, 17.2 Avg"
Trech Kekahuna,JR,WR,"25 Rec, 339 Yds, 13.6 Avg"
Bryson Green,SR,WR,"17 Rec, 219 Yds, 12.9 Avg"
CJ Williams,SR,WR,"16 Rec, 248 Yds, 15.5 Avg"
Chris Brooks,SR,WR,"1 Rec, 27 Yds, 27.0 Avg"
Quincy Burroughs,SR,WR,"1 Rec, 13 Yds, 13.0 Avg"
Tyrell Henry,SR,WR,"1 Rec, 12 Yds, 12.0 Avg"
Haakon Anderson,SR,WR,
Kyan Berry-Johnson,SO,WR,
Alex Moeller,SR,WR,
Grady O'Neill,SR,WR,
Cam Fane,SR,WR,
Joe Griffin,JR,WR,
Langdon Nordgaard,SO,WR,
Davion Thomas-Kumpula,JR,WR,
Tucker Ashcraft,JR,TE,"12 Rec, 82 Yds, 6.8 Avg"
Riley Nowakowski,SR,TE,"11 Rec, 74 Yds, 6.7 Avg"
JT Seagreaves,SR,TE,"4 Rec, 44 Yds, 11.0 Avg"
Jackson McGohan,JR,TE,"1 Rec, 2 Yds, 2.0 Avg"
Grant Stec,SO,TE,
Rob Booker II,SO,TE,
Angel Toombs,JR,TE,
JP Benzschawel,SR,OL,
Joe Brunner,SR,OL,
Ryan Cory,SO,OL,
Colin Cubberly,SO,OL,
James Durand,JR,OL,
Kevin Heywood,SO,OL,
Joe Huber,SR,OL,
Kerry Kodanko,SR,OL,
Riley Mahlman,SR,OL,
Emerson Mandell,SO,OL,
Barrett Nelson,SR,OL,
Jack Nelson,SR,OL,
Jake Renfro,SR,OL,
Evan Brown,JR,OL,
John Clifford,SR,OL,
Derek Jensen,SO,OL,
Peyton Lange,JR,OL,
Leyton Nelson,JR,OL,
Joey Okla,JR,OL,
Gavin Lahm,SR,K,
Gavin Meyers,SR,K,
Nathanial Vakos,SR,K,
Gianni Smith,SR,K,
Nate Van Zelst,SR,K,
Sean West,SO,K,
Ben Barten,SR,DL,
Elijah Hills,SR,DL,
Dillan Johnson,SO,DL,
Brandon Lane Jr.,SR,DL,
Jamel Howard Jr.,JR,DL,
Will McDonald,JR,DL,
Manny Mullens,SR,DL,
Nolan Vils,JR,DL,
Hank Weber,SO,DL,
Ernest Willor Jr.,SO,DL,
Christian Alliegro,JR,LB,
Jake Chaney,SR,LB,
Sebastian Cheeks,JR,LB,
Tackett Curtis,JR,LB,
Thomas Heiberger,SO,LB,
Tyler Jansey,JR,LB,
Leon Lowery,SR,LB,
Darryl Peterson,SR,LB,
John Pius,SR,LB,
Garrison Solliday,SR,LB,
Jaheim Thomas,SR,LB,
Aaron Witt,SR,LB,
Drew Braam,SO,LB,
Tamer Dalloul,SO,LB,
Anelu Lafaele,SO,LB,
Cody Raymond,SO,LB,
Evan Van Dyn Hoven,JR,LB,
Nyzier Fourqurean,SR,DB,
Atticus Bertrams,JR,P,
Owen Arnett,SR,S,
Jace Arnold,JR,CB,
Austin Brown,SR,S,
Ronald Delancy III,SR,CB,
Jonas Duclona,JR,CB,
Ricardo Hallman,SR,CB,
Charlie Jarvis,SR,S,
Kamo'i Latu,SR,S,
Max Lofy,SR,CB,
Xavier Lucas,SO,CB,
Cade McDonald,SR,DE,
Duncan McKinley,SR,LS,
Braedyn Moore,JR,S,
Curt Neal,SR,DT,
Cayson Pfeiffer,SR,LS,
Amare Snowden,JR,CB,
Justin Taylor,JR,S,
James Thompson Jr.,SR,DE,
Hunter Wohler,SR,S,
Preston Zachman,SR,S,
Omillio Agard,SO,CB,
Deed Capper,SO,LS,
Zach Gloudeman,SR,FB,
Jay Harper,SO,CB,
Mason Lane,SO,S,
Jackson Trudgeon,SR,S,
