Player,Class,Pos,Summary
Evan Svoboda,SR,QB,"111 Cmp, 226 Att, 1318 Yds, 5 TD"
Kaden Anderson,SO,QB,"70 Cmp, 120 Att, 955 Yds, 6 TD"
Deyon Batiste,SO,QB,
Gage Brook,SO,QB,
Jayden Clemons,SR,QB,
Sam Scott,SR,RB,"92 Att, 435 Yds, 4.7 Avg"
Jamari Ferrell,SR,RB,"80 Att, 318 Yds, 4.0 Avg"
Harrison Waylee,SR,RB,"63 Att, 323 Yds, 5.1 Avg"
D.J. Jones,SR,RB,"57 Att, 162 Yds, 2.8 Avg"
Dawaiian McNeely,SR,RB,"2 Att, 12 Yds, 6.0 Avg"
Nico Hamilton,SO,RB,
Mitchell Anderson,SR,RB,
Dontae Burch,SO,RB,
Tyler King,JR,WR,"17 Rec, 236 Yds, 13.9 Avg"
Justin Stevenson,JR,WR,"17 Rec, 204 Yds, 12.0 Avg"
Chris Durr,SO,WR,"31 Rec, 348 Yds, 11.2 Avg"
Will Pelissier,SR,WR,"14 Rec, 212 Yds, 15.1 Avg"
Devin Boddie Jr.,SR,WR,"5 Rec, 62 Yds, 12.4 Avg"
Jaylen Sargent,SR,WR,"23 Rec, 480 Yds, 20.9 Avg"
Alex Brown,SR,WR,"2 Rec, 21 Yds, 10.5 Avg"
Jaylan Bean,JR,WR,
Bricen Brantley,SO,WR,
Charlie Coenen,JR,WR,
Caleb Cooley,SR,WR,
Kayden LaFramboise,SO,WR,
Caleb Merritt,JR,WR,
Tyler Nystrom,SO,WR,
Trey Olson,SO,WR,
Jake Wilson,SO,TE,
John Michael Gyllenborg,SR,TE,"30 Rec, 425 Yds, 14.2 Avg"
Nick Miles,SR,TE,"9 Rec, 60 Yds, 6.7 Avg"
Clay Nanke,SR,TE,"4 Rec, 64 Yds, 16.0 Avg"
Isaac Schoenfeld,JR,TE,"1 Rec, 7 Yds, 7.0 Avg"
Justin Erb,SR,TE,
Tyler Hampton,SR,TE,
Hunter Kallstrom,SO,TE,
Alex Conn,SR,OL,
Nathan Geiger,SO,OL,
Brandt Rice,SO,OL,
Wyatt Walters,SO,OL,
Abraham Bangoura,SO,OL,
Dante Gavito,SR,OL,
Caleb Hall,SO,OL,
Alex Haswell,SO,OL,
Braylon Jenkins,SO,OL,
Brycen Lotz,SO,OL,
Giovanni Panozzo,SO,OL,
Spencer Rathburn,SO,OL,
Tegen Seeds,SO,OL,
John Hoyland,SR,K,
Keelan Anderson,SO,K,
Erik Sandvik,SO,K,
Ben Florentine,SR,DL,
Connor Shay,SR,LB,
Dash Bauman,SO,LB,
Wrook Brown,SR,LB,
Cole Demarzo,SR,LB,
Evan Eller,SR,LB,
Gary Rutherford,SO,LB,
Malique Singleton,JR,LB,
Shae Suiaunoa,SR,LB,
Read Sunn,SR,LB,
Nic Talich,SR,LB,
Micah Young,SR,LB,
Jack Harvey,SO,LB,
Adrian Onyeigo,SO,LB,
Drew Jackson,SO,DB,
Joaquin Sandoval,SO,DB,
Jack Culbreath,SR,P,
Gavyn Helm,SO,P,
Jayden Williams,JR,DT,
Caleb Driskill,SR,FB,
Caden Barnett,SR,OT,
Ian Bell,JR,CB,
Jordan Bertagnole,SR,DT,
Tyrese Boss,SO,CB,
Jake Davies,SO,OT,
Tyrecus Davis,SR,CB,
Ethan Day,JR,DE,
Dante Drake,SO,DT,
Wyett Ekeler,SR,S,
Markie Grant,SO,CB,
Quinn Grovesteen-Matchey,SO,OT,
Devonne Harris,SR,DE,
Sabastian Harsh,SR,DE,
Rex Johnsen,JR,OG,
Andrew Johnson,SR,S,
Wes King,JR,OG,
Kimball Madsen,SR,FB,
Koa McIntyre,JR,S,
Keany Parks,JR,CB,
Luke Sandy,JR,OC,
Isaac Sell,SR,CB,
Braden Siders,SR,DE,
Jones Thomas,SO,S,
Miles Tucker,JR,S,
Nofoafia Tulafono,SR,OC,
Tell Wade,SO,DE,
Jack Walsh,SR,OG,
Tyce Westland,SR,DE,
Isaac White,SR,S,
Jaden Williams,JR,DT,
Carson York,SR,LS,
Bleyne Bryant,SO,S,
Cody Crawford,SO,DT,
Jevon Davis,SR,S,
Naz Hill,SO,CB,
David Leonard,SO,S,
Cooper Mailand,SO,FB,
Eltoum Murgus,SO,DE,
Nathan Murphy,SO,DT,
Lafai Purcell,SO,S,
Caleb Robinson,SR,DT,
Lucas Samsula,SO,DT,
Kevin Sjogren,JR,DE,
Jordan Turnbull,SO,DE,
Nikos Varelas,SO,S,
Charles Williams,SO,CB,
