Rk,School,G,XPM,XPA,XP%,FGM,FGA,FG%,Pts,Punts,Yds,Avg,Ret,Yds,Avg,TD,Ret,Yds,Avg,TD
1,Air Force,13,3.2,3.3,97.7,1.2,1.5,80.0,6.9,3.1,125.0,40.6,0.4,7.1,18.4,0.0,0.6,1.8,2.9,0.0
2,Akron,12,2.0,2.0,100.0,0.8,1.3,56.3,4.3,5.3,200.0,37.5,3.0,52.7,17.6,0.0,1.3,7.8,5.8,0.0
3,Alabama,14,4.0,4.0,100.0,1.6,1.8,88.0,8.7,4.5,212.2,47.2,1.7,38.1,22.2,0.0,1.4,12.4,8.7,0.1
4,Appalachian State,14,3.9,3.9,100.0,1.4,1.6,86.4,7.9,3.9,150.5,39.0,1.9,43.1,22.4,0.0,0.1,2.6,18.5,0.0
5,Arizona,13,4.1,4.1,100.0,1.5,1.8,79.2,8.5,3.0,123.5,41.2,0.9,12.8,13.8,0.0,1.0,6.0,6.0,0.1
6,Arizona State,12,1.7,1.7,100.0,0.9,1.3,68.8,4.4,4.5,174.6,38.8,2.6,59.2,22.9,0.0,0.8,8.3,10.0,0.0
7,Arkansas,12,2.8,2.8,100.0,1.7,2.0,83.3,7.8,4.9,230.8,46.9,1.9,41.7,21.7,0.0,1.3,15.0,12.0,0.1
8,Arkansas State,13,3.2,3.2,100.0,1.3,1.7,77.3,7.1,4.7,202.7,43.2,2.3,58.5,25.4,0.1,1.2,12.4,10.1,0.1
9,Army,12,2.3,2.3,100.0,1.0,1.3,80.0,5.3,3.7,134.8,36.8,1.0,18.6,18.6,0.0,0.6,9.4,16.1,0.2
10,Auburn,13,3.2,3.2,100.0,1.0,1.0,100.0,6.2,4.7,209.2,44.6,2.5,54.5,21.5,0.0,1.9,19.2,10.0,0.1
11,Ball State,12,2.0,2.1,96.0,1.3,1.8,71.4,5.8,4.9,205.7,41.8,2.2,37.7,17.4,0.0,1.2,1.3,1.1,0.0
12,Baylor,12,1.8,1.9,91.3,1.5,2.1,72.0,6.3,2.9,125.1,42.9,3.5,83.0,23.7,0.2,1.1,16.8,15.5,0.0
13,Boise State,14,3.4,3.5,98.0,1.7,1.9,88.9,8.6,4.0,197.1,49.3,1.9,35.9,19.3,0.0,0.6,1.9,3.4,0.0
14,Boston College,13,2.8,3.0,92.3,0.8,1.1,78.6,5.3,4.1,154.6,37.9,1.5,22.2,14.4,0.0,0.9,8.6,9.3,0.0
15,Bowling Green State,13,3.3,3.3,100.0,1.0,1.4,72.2,6.3,3.8,150.4,39.1,1.8,35.5,20.1,0.0,1.3,9.8,7.5,0.1
16,Brigham Young,12,2.7,2.8,97.0,0.9,1.2,78.6,5.4,5.7,274.1,48.4,2.5,51.0,20.4,0.0,1.9,7.7,4.0,0.0
17,Buffalo,12,2.2,2.2,100.0,0.9,1.6,57.9,4.9,4.5,189.3,42.1,2.9,46.3,15.9,0.0,0.9,4.2,4.5,0.0
18,California,13,3.1,3.3,93.0,0.8,1.4,61.1,5.6,4.0,178.0,44.5,1.8,37.4,20.3,0.1,0.7,2.0,2.9,0.0
19,Central Michigan,12,2.6,2.8,93.9,0.6,1.2,50.0,4.3,5.2,223.4,43.2,3.6,72.3,20.2,0.1,1.3,5.7,4.5,0.0
20,Charlotte,12,1.8,1.8,100.0,0.9,1.6,57.9,4.5,5.1,226.4,44.5,2.4,51.6,21.3,0.0,1.9,18.5,9.7,0.1
21,Cincinnati,12,2.5,2.5,100.0,1.3,1.6,78.9,6.3,3.8,161.3,43.0,1.3,20.8,16.6,0.0,1.3,4.3,3.5,0.0
22,Clemson,13,3.5,3.5,97.8,1.2,1.8,62.5,6.9,4.8,209.2,43.2,0.9,22.1,23.9,0.0,1.8,14.0,7.9,0.0
23,Coastal Carolina,13,3.3,3.3,100.0,1.3,1.9,68.0,7.2,3.1,121.5,39.5,2.3,37.1,16.1,0.0,1.1,5.3,4.9,0.0
24,Colorado,12,3.0,3.1,97.3,1.2,1.6,73.7,6.5,5.5,239.5,43.5,1.2,25.4,21.8,0.0,1.4,14.7,10.4,0.0
25,Colorado State,12,2.8,2.9,97.1,1.3,1.6,78.9,6.6,4.3,187.5,43.3,2.2,48.3,22.3,0.1,1.1,12.5,11.5,0.1
26,Connecticut,12,1.9,2.2,88.5,0.8,1.4,58.8,4.4,5.1,229.3,45.1,2.8,52.3,19.0,0.0,0.9,3.3,3.6,0.0
27,Duke,13,2.9,2.9,100.0,1.4,1.8,78.3,7.1,4.2,195.9,46.3,1.2,26.0,21.1,0.0,1.2,11.5,9.3,0.0
28,East Carolina,12,1.7,1.8,95.2,1.5,2.1,72.0,6.2,5.6,230.8,41.3,1.7,26.6,16.0,0.0,1.1,8.0,7.4,0.0
29,Eastern Michigan,13,1.9,2.2,89.3,1.0,1.3,76.5,4.9,5.2,235.4,45.0,2.6,56.1,21.4,0.2,1.0,10.9,10.9,0.0
30,Florida,12,2.8,2.8,97.1,1.5,2.0,75.0,7.3,3.6,171.0,47.7,1.3,27.6,20.7,0.0,1.2,12.6,10.8,0.0
31,Florida Atlantic,12,3.1,3.1,100.0,0.5,0.8,60.0,4.6,4.8,207.7,43.0,2.0,37.1,18.5,0.0,1.3,23.5,18.8,0.1
32,Florida International,12,2.2,2.3,92.9,0.8,1.0,75.0,4.4,6.0,235.0,39.2,2.3,40.0,17.8,0.0,1.1,11.0,10.2,0.0
33,Florida State,14,4.2,4.2,100.0,1.4,1.5,90.5,8.3,4.8,217.4,45.4,1.1,29.1,25.4,0.1,1.9,21.3,11.0,0.0
34,Fresno State,13,3.1,3.1,100.0,1.8,2.3,80.0,8.6,4.0,167.1,41.8,2.8,62.8,22.1,0.1,1.5,14.2,9.2,0.0
35,Georgia,14,5.1,5.1,100.0,1.5,1.8,84.0,9.6,2.3,100.2,43.8,1.7,43.6,25.4,0.0,1.7,18.6,10.8,0.1
36,Georgia Southern,13,3.5,3.5,100.0,1.8,2.2,82.1,8.8,3.7,144.8,39.2,3.1,73.2,23.8,0.1,2.1,15.7,7.6,0.0
37,Georgia State,13,3.5,3.5,97.8,0.7,1.0,69.2,5.5,4.6,188.8,40.9,1.6,28.5,17.7,0.0,0.7,1.6,2.3,0.1
38,Georgia Tech,13,3.5,3.5,97.8,1.3,1.7,77.3,7.4,3.5,151.3,42.8,1.8,39.2,22.2,0.0,0.9,9.3,10.1,0.0
39,Hawaii,13,2.3,2.4,96.8,1.1,1.4,77.8,5.5,4.7,182.2,38.8,1.6,31.5,19.5,0.0,1.2,7.8,6.7,0.0
40,Houston,12,2.8,2.8,100.0,0.7,1.2,57.1,4.8,4.1,168.5,41.3,2.4,52.1,21.6,0.2,1.3,8.3,6.7,0.0
41,Illinois,12,2.0,2.2,92.3,1.2,1.6,73.7,5.5,4.3,181.9,42.0,2.1,37.8,18.2,0.0,1.0,11.1,11.1,0.0
42,Indiana,12,2.6,2.7,96.9,0.9,1.3,73.3,5.3,4.8,217.7,45.0,2.6,54.8,21.2,0.1,1.0,2.6,2.6,0.0
43,Iowa,14,1.4,1.4,95.0,1.4,1.9,70.4,5.4,6.7,322.6,48.0,1.4,31.7,23.4,0.0,2.1,21.7,10.1,0.1
44,Iowa State,13,2.8,2.9,94.7,1.6,2.0,80.8,7.6,4.8,207.9,43.6,1.4,29.4,21.2,0.0,1.2,9.8,7.9,0.0
45,Jacksonville State,13,3.5,3.6,97.9,1.2,1.7,72.7,7.2,5.3,218.8,41.2,0.2,2.4,15.5,0.0,1.2,6.7,5.4,0.1
46,James Madison,13,4.1,4.1,100.0,1.2,1.4,88.9,7.8,4.5,184.2,40.6,1.7,33.1,19.5,0.0,1.4,20.5,14.8,0.1
47,Kansas,13,4.1,4.2,96.4,0.8,1.2,73.3,6.6,2.5,99.5,39.2,2.4,47.4,19.9,0.0,0.5,9.2,19.8,0.1
48,Kansas State,13,4.4,4.5,96.6,0.8,1.1,78.6,6.9,4.1,165.4,40.6,1.5,26.5,18.1,0.0,1.2,5.6,4.6,0.0
49,Kent State,12,1.4,1.5,94.4,1.3,1.4,88.2,5.2,6.0,230.6,38.4,3.5,73.9,21.1,0.0,1.2,8.8,7.6,0.0
50,Kentucky,13,3.7,3.8,98.0,0.8,0.8,90.9,6.0,4.4,170.9,39.0,1.8,53.3,30.1,0.2,0.6,5.6,9.1,0.0
51,Liberty,14,5.1,5.2,97.3,0.6,1.1,60.0,7.0,2.5,102.9,41.2,1.9,38.0,20.5,0.0,0.9,6.1,6.6,0.0
52,Louisiana,13,4.0,4.1,98.1,1.1,1.2,87.5,7.2,4.1,168.8,41.4,3.2,71.8,22.2,0.1,1.3,7.5,5.7,0.0
53,Louisiana Tech,12,2.6,2.8,93.9,1.2,1.6,73.7,6.1,4.5,201.9,44.9,2.4,46.5,19.2,0.0,2.5,20.6,8.2,0.2
54,Louisiana-Monroe,12,1.8,1.8,95.5,0.9,1.2,78.6,4.5,5.5,224.4,40.8,2.4,41.1,17.0,0.0,0.7,6.3,9.4,0.1
55,Louisville,14,3.6,3.7,96.2,1.3,1.8,72.0,7.4,3.9,159.1,40.5,1.7,34.6,20.2,0.0,2.0,8.8,4.4,0.1
56,LSU,13,6.0,6.0,100.0,0.9,1.2,80.0,8.8,2.0,81.8,40.9,1.6,30.7,19.0,0.0,0.5,5.7,10.6,0.0
57,Marshall,13,2.8,2.8,100.0,0.9,1.5,60.0,5.5,5.3,222.7,42.0,2.3,60.7,26.3,0.2,0.7,1.5,2.1,0.0
58,Maryland,13,3.5,3.6,97.9,1.1,1.5,70.0,6.8,3.7,148.7,40.3,1.8,34.8,19.7,0.1,0.9,7.8,8.4,0.0
59,Massachusetts,12,2.3,2.3,96.4,0.9,1.7,55.0,5.0,4.8,189.4,39.9,3.3,59.4,17.8,0.0,1.0,6.7,6.7,0.0
60,Memphis,13,4.7,4.8,96.8,1.0,1.4,72.2,7.7,3.5,146.3,42.3,2.0,43.5,21.8,0.0,1.2,9.1,7.9,0.0
61,Miami (FL),13,3.5,3.5,97.8,1.7,2.0,84.6,8.5,3.5,144.8,41.8,2.5,60.8,24.0,0.1,0.9,6.1,6.6,0.0
62,Miami (OH),14,2.7,2.9,95.0,1.9,2.0,96.4,8.5,4.1,186.4,45.0,1.9,35.1,18.2,0.0,1.7,21.4,12.5,0.0
63,Michigan,15,4.4,4.5,97.1,1.2,1.4,85.7,8.0,3.5,156.4,44.3,1.1,16.7,14.8,0.0,2.0,19.9,9.9,0.0
64,Michigan State,12,1.7,1.7,100.0,1.1,1.5,72.2,4.9,5.8,261.5,45.5,1.4,25.2,17.8,0.0,1.1,7.4,6.8,0.0
65,Middle Tennessee State,12,2.9,3.1,94.6,0.8,1.2,71.4,5.4,5.6,241.1,43.2,1.2,20.3,17.4,0.0,0.9,10.0,10.9,0.0
66,Minnesota,13,2.1,2.1,100.0,1.8,2.1,85.2,7.4,5.0,212.5,42.5,1.9,27.8,14.5,0.0,0.6,7.2,11.8,0.0
67,Mississippi State,12,2.4,2.4,100.0,1.4,1.9,73.9,6.7,4.8,193.3,40.0,1.9,45.8,23.9,0.1,1.3,15.8,11.8,0.1
68,Missouri,13,3.5,3.5,97.8,1.8,2.3,80.0,9.0,3.8,157.9,41.1,1.5,29.5,19.2,0.0,0.7,5.5,7.9,0.0
69,Navy,12,1.8,1.9,95.7,0.7,1.2,57.1,3.8,6.7,298.6,44.8,2.0,39.8,19.9,0.0,1.7,14.7,8.8,0.0
70,Nebraska,12,2.3,2.3,100.0,0.8,1.3,60.0,4.5,4.8,196.3,40.6,1.2,27.9,23.9,0.0,1.3,4.0,3.0,0.0
71,Nevada,12,1.6,1.6,100.0,1.3,1.7,75.0,5.3,5.4,222.5,41.1,2.3,40.3,17.3,0.0,0.6,9.8,16.9,0.0
72,New Mexico,12,3.1,3.2,97.4,0.8,1.2,71.4,5.6,4.4,183.7,41.6,2.3,40.3,17.3,0.0,0.3,0.4,1.3,0.0
73,New Mexico State,15,3.3,3.3,98.0,1.3,1.6,79.2,7.1,3.5,141.9,40.2,1.2,22.5,18.7,0.0,1.2,9.0,7.5,0.0
74,North Carolina,13,3.9,3.9,100.0,1.7,1.8,91.7,9.0,3.7,138.8,37.6,1.1,19.8,18.4,0.0,0.7,8.8,12.7,0.1
75,North Carolina State,13,3.0,3.0,100.0,1.4,1.8,78.3,7.2,5.5,232.5,42.6,1.8,41.3,22.4,0.1,1.3,13.2,10.1,0.0
76,North Texas,12,3.8,3.8,100.0,1.3,1.6,84.2,7.8,3.3,137.3,42.3,3.1,60.0,19.5,0.0,0.9,4.2,4.5,0.0
77,Northern Illinois,13,2.4,2.4,100.0,1.0,1.7,59.1,5.4,4.0,162.3,40.6,2.0,31.0,15.5,0.0,0.9,8.0,8.7,0.1
78,Northwestern,13,2.5,2.5,100.0,1.1,1.5,73.7,5.8,5.7,217.6,38.2,2.1,44.9,21.6,0.0,0.8,5.4,6.4,0.0
79,Notre Dame,13,4.9,5.0,98.5,1.2,1.7,68.2,8.4,3.0,135.1,45.0,1.6,42.5,26.3,0.1,1.2,12.9,11.2,0.1
80,Ohio,13,2.7,2.8,97.2,1.5,2.2,67.9,7.1,3.7,148.9,40.3,1.2,21.0,18.2,0.0,1.2,3.2,2.7,0.0
81,Ohio State,13,3.8,3.8,98.0,1.2,1.5,80.0,7.5,3.8,167.2,43.5,1.0,19.9,19.9,0.0,1.3,5.8,4.4,0.0
82,Oklahoma,13,5.3,5.3,100.0,1.2,1.6,71.4,8.8,3.3,139.8,42.3,1.6,34.0,21.0,0.0,1.6,10.5,6.5,0.1
83,Oklahoma State,14,3.1,3.2,95.6,1.9,2.4,79.4,8.9,4.7,196.4,41.7,2.3,46.5,20.3,0.0,0.9,3.0,3.5,0.0
84,Old Dominion,13,2.8,2.8,100.0,1.1,1.6,66.7,6.0,5.1,201.8,39.7,2.3,38.7,16.8,0.0,1.4,9.6,6.9,0.0
85,Ole Miss,13,3.9,3.9,100.0,1.5,1.8,79.2,8.3,3.8,156.8,41.6,1.5,23.8,15.5,0.0,1.1,9.0,8.4,0.1
86,Oregon,14,5.4,5.4,100.0,0.9,1.3,66.7,7.9,2.3,105.9,46.3,1.4,22.0,15.4,0.0,1.5,14.4,9.6,0.0
87,Oregon State,13,3.8,3.8,98.0,1.0,1.1,92.9,6.8,3.0,122.8,40.9,2.2,39.8,18.5,0.0,1.0,18.0,18.0,0.1
88,Penn State,13,4.2,4.2,100.0,1.5,2.0,73.1,8.5,3.9,178.5,45.5,1.2,28.6,23.3,0.0,2.3,25.8,11.2,0.2
89,Pitt,12,2.4,2.4,100.0,0.9,1.3,68.8,5.2,5.3,218.6,41.6,1.9,34.9,18.2,0.1,1.8,8.8,4.8,0.0
90,Purdue,12,2.6,2.8,93.9,0.7,1.4,47.1,4.6,5.3,210.8,40.1,1.8,42.4,24.2,0.1,1.7,13.3,8.0,0.0
91,Rice,13,3.7,3.7,100.0,0.6,0.9,66.7,5.5,4.2,163.3,39.3,2.1,42.2,20.3,0.0,1.5,15.2,10.4,0.1
92,Rutgers,13,2.5,2.6,97.1,1.2,1.5,78.9,6.0,4.4,173.7,39.6,0.4,12.7,33.0,0.0,0.5,0.9,2.0,0.2
93,Sam Houston,12,2.3,2.3,96.4,0.9,1.2,78.6,5.0,6.3,262.8,41.5,2.1,36.7,17.6,0.0,1.7,10.8,6.5,0.0
94,San Diego State,12,2.1,2.1,100.0,1.6,2.2,73.1,6.8,4.5,204.1,45.4,2.4,49.1,20.3,0.0,1.8,15.4,8.8,0.0
95,San Jose State,13,4.2,4.2,98.2,0.8,1.2,66.7,6.5,3.4,141.5,41.8,1.5,21.8,14.9,0.0,0.6,12.0,19.5,0.2
96,SMU,14,4.7,4.8,98.5,1.4,1.9,74.1,9.0,3.4,140.8,41.9,1.6,32.3,19.7,0.0,1.9,18.9,9.8,0.1
97,South Alabama,13,3.5,3.7,95.8,1.1,1.6,66.7,6.8,3.1,122.7,39.9,1.4,24.0,17.3,0.0,1.8,19.4,10.5,0.0
98,South Carolina,12,2.8,2.9,97.1,1.0,1.2,85.7,5.8,5.2,223.0,43.2,1.7,29.3,17.6,0.0,1.1,8.2,7.5,0.1
99,South Florida,13,4.0,4.0,100.0,0.8,1.2,68.8,6.5,4.3,176.3,40.9,1.6,31.8,19.7,0.0,1.4,7.1,5.1,0.0
100,Southern Mississippi,12,2.4,2.5,96.7,1.4,2.0,70.8,6.7,5.1,201.8,39.7,3.3,73.3,22.5,0.1,1.3,13.9,10.4,0.1
101,Stanford,12,1.8,1.8,100.0,1.9,2.3,85.2,7.6,4.5,187.5,41.7,1.5,23.0,15.3,0.0,0.6,4.0,6.9,0.0
102,Syracuse,13,2.8,2.9,94.7,0.8,1.2,62.5,5.1,4.8,216.9,44.8,1.5,27.6,18.0,0.0,2.0,19.8,9.9,0.0
103,TCU,12,3.7,3.8,95.7,1.2,1.8,66.7,7.2,3.2,130.1,41.1,2.7,56.3,21.1,0.0,1.0,12.2,12.2,0.1
104,Temple,12,2.0,2.2,92.3,0.6,1.0,58.3,3.8,3.7,143.3,39.1,3.3,57.3,17.6,0.1,1.2,6.3,5.4,0.0
105,Tennessee,13,3.8,3.8,100.0,1.5,1.8,79.2,8.2,4.2,179.8,42.5,1.2,22.5,19.5,0.0,1.6,19.9,12.3,0.1
106,Texas,14,4.0,4.0,100.0,2.1,2.5,82.9,10.2,2.9,130.6,44.6,2.2,45.4,20.5,0.1,1.7,27.2,15.9,0.1
107,Texas A&M,13,3.8,3.8,100.0,2.0,2.7,74.3,9.8,3.2,132.8,41.1,1.7,30.7,18.1,0.0,2.1,24.9,12.0,0.1
108,Texas State,13,4.5,4.5,98.3,1.2,1.2,100.0,7.9,3.5,141.2,39.9,3.0,78.2,26.1,0.2,0.9,6.4,6.9,0.0
109,Texas Tech,13,3.1,3.1,100.0,1.2,1.7,72.7,6.8,4.3,196.0,45.5,2.5,64.7,25.5,0.1,0.9,18.0,19.5,0.1
110,Toledo,14,3.7,3.8,98.1,0.9,1.1,80.0,6.3,3.9,143.3,37.1,2.9,62.0,21.7,0.1,1.4,7.5,5.5,0.0
111,Troy,14,3.6,3.6,100.0,1.4,1.7,79.2,7.6,3.8,157.8,41.7,1.5,29.5,19.7,0.0,1.2,6.1,5.1,0.0
112,Tulane,14,3.0,3.0,100.0,1.5,1.9,80.8,7.5,3.5,151.7,43.3,1.9,47.9,24.8,0.1,1.0,10.4,10.4,0.1
113,Tulsa,12,2.5,2.6,96.8,1.4,1.7,85.0,6.8,4.9,206.6,42.0,1.3,26.7,21.3,0.0,0.5,5.6,11.2,0.0
114,UAB,12,3.2,3.3,97.4,0.9,1.5,61.1,5.9,3.3,142.9,42.9,2.6,47.7,18.5,0.0,0.5,5.0,10.0,0.0
115,UCF,13,3.7,3.8,96.0,1.0,1.6,61.9,6.7,2.8,114.2,41.3,1.3,28.5,21.8,0.0,1.3,12.0,9.2,0.0
116,UCLA,13,3.4,3.5,97.8,0.6,1.3,47.1,5.2,3.7,155.2,42.0,1.6,32.9,20.4,0.0,1.4,9.5,6.8,0.0
117,UNLV,14,4.0,4.0,100.0,1.9,2.1,89.7,9.6,3.6,171.4,47.1,3.0,71.5,23.8,0.0,1.3,22.1,17.2,0.0
118,USC,13,5.1,5.2,97.1,0.8,1.2,66.7,7.4,3.4,146.6,43.3,2.3,42.0,18.2,0.1,1.6,27.5,17.0,0.1
119,Utah,13,2.7,2.7,100.0,1.2,1.5,80.0,6.4,4.3,192.5,44.7,1.6,32.7,20.2,0.0,1.8,8.5,4.6,0.0
120,Utah State,13,3.7,3.8,96.0,1.0,1.3,76.5,6.7,4.8,203.2,42.6,1.5,28.8,19.7,0.0,2.3,19.9,8.6,0.0
121,UTEP,12,2.4,2.5,96.7,0.8,1.2,71.4,4.9,4.3,187.8,43.3,1.1,20.6,19.0,0.0,0.7,8.0,12.0,0.1
122,UTSA,13,3.9,3.9,100.0,1.1,1.3,82.4,7.2,4.0,167.2,41.8,1.5,24.5,16.8,0.0,1.3,9.6,7.4,0.1
123,Vanderbilt,12,2.4,2.5,96.7,0.6,0.8,70.0,4.2,4.9,227.7,46.3,2.3,45.4,20.2,0.1,1.3,12.1,9.7,0.0
124,Virginia,12,2.6,2.6,100.0,1.5,1.8,85.7,7.1,5.5,228.8,41.6,1.6,32.4,20.5,0.0,1.3,5.1,3.8,0.0
125,Virginia Tech,13,3.4,3.4,100.0,1.7,1.8,91.7,8.5,4.6,199.1,43.1,2.2,55.0,24.7,0.2,1.9,22.2,11.6,0.0
126,Wake Forest,12,1.8,1.9,95.7,1.3,1.8,68.2,5.6,4.8,200.8,41.6,1.9,44.0,23.0,0.1,1.3,12.3,9.3,0.0
127,Washington,15,4.3,4.3,100.0,1.2,1.5,81.8,7.9,3.1,125.2,40.8,2.3,46.9,20.7,0.0,1.3,12.3,9.7,0.1
128,Washington State,12,3.7,3.7,100.0,0.8,1.3,66.7,6.2,3.8,170.1,44.4,1.7,36.7,22.0,0.1,0.8,5.8,7.8,0.0
129,West Virginia,13,3.7,3.7,100.0,1.3,1.6,81.0,7.6,3.5,144.5,41.8,1.5,27.7,18.9,0.0,1.7,17.3,10.2,0.1
130,Western Kentucky,13,3.6,3.6,100.0,0.7,0.9,75.0,5.7,4.5,184.8,40.7,1.8,35.5,19.2,0.0,0.8,3.1,3.6,0.0
131,Western Michigan,12,2.9,2.9,100.0,0.8,1.3,60.0,5.2,4.8,182.9,38.5,2.3,42.7,19.0,0.0,0.6,5.3,9.1,0.0
132,Wisconsin,13,2.6,2.6,100.0,1.2,1.5,78.9,6.1,4.8,200.2,41.3,1.9,40.8,21.2,0.0,1.7,14.9,8.8,0.0
133,Wyoming,13,2.9,3.0,97.4,1.0,1.5,65.0,5.9,4.7,197.5,42.1,1.1,19.8,18.4,0.0,0.7,2.5,3.7,0.0
