,,,,Passing,,,,,Rushing,,,,Total Offense,,,First Downs,,,,Penalties,,Turnovers,,
Rk,School,G,Pts,Cmp,Att,Pct,Yds,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,Pass,Rush,Pen,Tot,No.,Yds,Fum,Int,TO
1,Ohio State,16,12.9,16.7,27.6,60.4,167,0.6,33.1,87.6,2.6,0.8,60.8,254.6,4.2,7.3,6.1,1.7,15.1,3.7,29.2,0.6,0.6,1.2
2,Ole Miss,13,14.4,20.5,34.4,59.7,230.8,1,35.1,80.5,2.3,0.5,69.5,311.2,4.5,10.2,5.8,2.5,18.6,6.2,53.8,0.8,0.9,1.8
3,Texas,16,15.3,18.3,30.6,59.7,173.8,0.6,33.9,109.6,3.2,0.9,64.4,283.4,4.4,8.4,6.5,1.5,16.4,5.6,47.8,0.6,1.4,1.9
4,Army,14,15.5,18.1,28.7,62.9,185.9,1.1,27.2,112,4.1,0.9,55.9,297.9,5.3,8.4,7,0.9,16.4,4.6,40.5,0.1,1.3,1.4
5,Notre Dame,16,15.5,14.7,28.2,52.1,169.4,0.9,36.5,138.1,3.8,1,64.7,307.4,4.8,7.4,7.9,1.8,17,5.4,48.3,0.9,1.2,2.1
6,Indiana,13,15.6,19.1,30.5,62.5,176.1,0.8,29.2,81.2,2.8,0.9,59.8,257.2,4.3,8,5.2,1.5,14.8,5.8,44.9,0.7,1.2,1.8
7,Tennessee,13,16.1,17.2,29.3,58.8,189.3,0.8,35,103.9,3,1,64.3,293.2,4.6,8.8,6.6,1.9,17.3,6.8,53.2,0.7,0.9,1.6
8,Penn State,16,16.5,17.8,29.7,60,192.9,1.1,33.4,101.9,3.1,0.6,63.1,294.8,4.7,8.8,7.2,1.6,17.6,4.4,33.9,0.4,1.3,1.6
9,Minnesota,13,16.9,16.9,28.7,59,176.1,0.8,31.3,109.6,3.5,1.1,60,285.7,4.8,8.5,5.9,1.5,16,5,49.1,0.3,1.3,1.6
10,Alabama,13,17.4,18.2,30.4,59.7,182.2,1,37.5,137.8,3.7,0.8,67.8,320.1,4.7,8.6,7.7,2.5,18.8,5.8,47.8,0.8,1.3,2.2
11,Iowa,13,17.8,20,32.3,61.9,203.1,1.5,31.2,115.3,3.7,0.3,63.5,318.4,5,9.5,7.2,1.1,17.7,5.7,44.7,0.6,1.2,1.8
12,Ohio,14,18.1,18.9,31,61.1,212.6,1.1,30.7,90.6,2.9,1,61.7,303.1,4.9,9.8,5.8,1,16.6,5.7,52.4,0.6,0.8,1.4
13,South Carolina,13,18.1,17.6,30.5,57.7,204.4,0.8,34.9,112.2,3.2,1.4,65.5,316.6,4.8,9.1,7.3,1.7,18.1,5.9,49.6,0.8,1.1,1.8
14,Northern Illinois,13,18.5,15.4,28.6,53.8,172.5,1.2,31.7,112.2,3.5,0.8,60.3,284.6,4.7,7.6,6.8,1.9,16.4,5.2,45.5,0.4,0.7,1.1
15,Miami (OH),14,18.8,19.1,33.1,57.8,194.3,0.7,35.1,137.1,3.9,1.4,68.2,331.4,4.9,10.1,8.3,1.8,20.2,4.9,41.9,0.7,0.9,1.6
16,Oregon,14,19.4,16.7,30,55.7,185.9,1.1,31.4,130,4.1,1.1,61.4,315.9,5.1,8.6,6.9,1.6,17.2,5.5,46.5,0.4,0.9,1.3
17,Nebraska,13,19.5,18.6,29.2,63.9,216.7,1.8,30,101.2,3.4,0.6,59.2,317.9,5.4,9.3,5.3,1.8,16.5,6.2,62.5,0.5,0.8,1.3
18,Brigham Young,13,19.6,16.7,30.2,55.4,182.5,1,32.8,126.3,3.9,1.4,62.9,308.8,4.9,8.3,7.5,1.2,17,6.2,52.2,0.5,1.7,2.2
19,Michigan,13,19.9,20.2,33.5,60.1,216.3,1.5,29.6,90.7,3.1,0.8,63.2,307,4.9,9.7,6.2,1.5,17.4,4.2,31.5,0.5,0.9,1.4
20,Missouri,13,20.4,15.2,25,60.9,181.3,1.1,33.5,136.2,4.1,1.2,58.5,317.5,5.4,7.7,7.2,1.4,16.2,6,52.5,0.8,0.5,1.3
21,James Madison,13,20.5,18,33,54.5,206.5,1.2,33.1,115.4,3.5,1,66.1,321.8,4.9,9.4,6.6,1.5,17.5,5.2,45.2,0.9,1.3,2.2
