,,,Kicking,,,,,,,Punting,,,Kick Ret,,,,Punt Ret,,,
Rk,School,G,XPM,XPA,XP%,FGM,FGA,FG%,Pts,Punts,Yds,Avg,Ret,Yds,Avg,TD,Ret,Yds,Avg,TD
1,Air Force,12,2,2,100,0.8,1.3,60,4.3,3.8,165.9,44.2,0.4,6.1,14.6,0,0.6,3.5,6,0
2,Akron,12,2,2,100,1.1,1.3,81.3,5.3,5.5,237.2,43.1,2.1,32.9,15.8,0,0.6,-0.1,-0.1,0.1
3,Alabama,13,4.4,4.4,100,0.6,0.8,80,6.2,4,181.5,45.4,1.1,21.7,20.1,0,1.9,17.2,9,0
4,Appalachian State,11,2.9,2.9,100,1,1.3,78.6,5.9,3.6,147.3,40.5,2.3,45.5,20,0,0.5,6.3,11.5,0.1
5,Arizona,12,1.9,2.1,92,1.5,1.9,78.3,6.4,4,173.1,43.3,2.7,59.3,22.3,0,1.4,7.9,5.6,0
6,Arizona State,14,4,4.1,96.6,0.8,1.4,55,6.4,2.9,116.4,40.7,0.8,12.9,16.5,0,0.8,10.6,13.5,0.1
7,Arkansas,13,3.8,3.8,100,1.3,1.8,70.8,7.7,3.2,142.7,45.2,1.2,18.8,16.3,0,0.8,5.2,6.2,0
8,Arkansas State,13,2.5,2.5,100,1.6,1.9,84,7.4,4.5,191,42.8,2.5,48.5,19.7,0,1.2,21.3,18.5,0.2
9,Army,14,3.9,3.9,100,0.7,0.9,83.3,6.1,1.8,71.4,40,1,11,11,0,0.6,2.7,4.2,0
10,Auburn,12,3.4,3.4,100,1,1.8,54.5,6.4,3.4,145.1,42.5,1.9,42.4,22.1,0,1.6,10.8,6.8,0.1
11,Ball State,12,2.9,3,97.2,1.1,1.3,86.7,6.2,4.7,188.1,40.3,2.9,66.2,22.7,0.1,0.8,1.3,1.7,0
12,Baylor,13,4.2,4.3,98.2,1.1,1.5,70,7.5,3.4,163.2,48.2,2,42.5,21.3,0.1,1.1,22.3,20.7,0
